k = 3 , accuracy: 0.7231
k = 5 , accuracy: 0.7385
k = 7 , accuracy: 0.7385
k = 9 , accuracy: 0.7231
k = 11 , accuracy: 0.7077
k = 13 , accuracy: 0.7077
k = 15 , accuracy: 0.7077
k = 17 , accuracy: 0.7231
k = 19 , accuracy: 0.7077
k = 21 , accuracy: 0.6923
k = 23 , accuracy: 0.6923
k = 25 , accuracy: 0.6923
k = 27 , accuracy: 0.6923
k = 29 , accuracy: 0.6769
k = 31 , accuracy: 0.6769
k = 33 , accuracy: 0.6615
k = 35 , accuracy: 0.6462
k = 37 , accuracy: 0.6462
k = 39 , accuracy: 0.6462
k = 41 , accuracy: 0.6
k = 43 , accuracy: 0.5846
k = 45 , accuracy: 0.5692
k = 47 , accuracy: 0.5692
k = 49 , accuracy: 0.5538
k = 51 , accuracy: 0.5231
k = 53 , accuracy: 0.4769
k = 55 , accuracy: 0.4923
k = 57 , accuracy: 0.4923
k = 59 , accuracy: 0.4462
k = 61 , accuracy: 0.4154
k = 63 , accuracy: 0.4154
k = 65 , accuracy: 0.4
k = 67 , accuracy: 0.4
k = 69 , accuracy: 0.4
k = 71 , accuracy: 0.3692
k = 73 , accuracy: 0.3538
k = 75 , accuracy: 0.3538
k = 77 , accuracy: 0.3538
k = 79 , accuracy: 0.3538
k = 81 , accuracy: 0.3538
k = 83 , accuracy: 0.3385
k = 85 , accuracy: 0.3538
k = 87 , accuracy: 0.3692
k = 89 , accuracy: 0.3538
k = 91 , accuracy: 0.3538
k = 93 , accuracy: 0.3538
k = 95 , accuracy: 0.3538
k = 97 , accuracy: 0.3538
k = 99 , accuracy: 0.3231
